id	subject	question	answer	notes	tags
11	Data types	Primitive data	"### **JavaScript Data Types**  

#### **Primitive Data Types**  
- `string`
- `number`
- `boolean`
- `undefined`  

All other types are **objects** or **functions**.

#### **Checking Data Types with `typeof`**  
The `typeof` operator returns the type of a value, but for arrays, it returns `""object""`.  

#### **Examples**  
```js
var x1 = {};         // Object
var x2 = """";         // Primitive string
var x3 = 0;          // Primitive number
var x4 = false;      // Primitive boolean
var x5 = [];         // Array (typeof returns ""object"")
var x6 = /()/;       // Regular expression object
var x7 = function(){}; // Function object
```"		
12	Functions (basic)	Syntax	"### **JavaScript Functions**  

#### **Defining and Calling a Function**  
```js
var x = myFunction(4, 3);

function myFunction(a, b) { 
  return a * b; 
}
```

- Calling a function with `()` executes it and returns a value.  
- Accessing a function **without `()`** returns the function definition, not the result.  

#### **Function Execution**  
A function executes when:  
1. **An event occurs** (e.g., button click).  
2. **It is called from JavaScript code.**  
3. **It self-invokes** (automatically executes).  

#### **Return Statement Behavior**  
- When JavaScript encounters a `return` statement, the function **stops execution**.  
- If the function was called from another statement, JavaScript **returns control** to that statement.  
- Functions often compute a value and **return it to the caller**.  

#### **Example: Returning a Value**  
```js
let x = myFunction(4, 3); 

function myFunction(a, b) {
  return a * b; // Function returns the product of a and b
}
```

#### **Using a Function as a Variable Value**  
```js
let text = ""The temperature is "" + toCelsius(77) + "" Celsius"";
```  
- The function `toCelsius(77)` executes first, and its return value is concatenated into the string."		
13	Functions (basic)	Local variables	Variables declared <b>within</b> a function, become <b>local</b> to the function.		
14	Events	Common HTML Events	"### **JavaScript Event Handlers**  

Event handlers allow JavaScript to execute code in response to user interactions.  

#### **Common Event Handlers:**  

| Event        | Description |
|-------------|------------|
| `onload`     | Fires when the page has fully loaded. |
| `onclick`    | Fires when an element is clicked. |
| `onmouseover` | Fires when the mouse hovers over an element. |
| `onmouseout`  | Fires when the mouse leaves an element. |
| `onkeydown`   | Fires when a key is pressed. |
| `onchange`    | Fires when the value of an input element changes. |

#### **Examples:**  
```js
// onload: Executes when the page loads
window.onload = function() {
  console.log(""Page has loaded"");
};

// onclick: Executes when a button is clicked
document.getElementById(""myButton"").onclick = function() {
  alert(""Button clicked!"");
};

// onmouseover &amp; onmouseout: Change color when hovering
let element = document.getElementById(""myElement"");
element.onmouseover = function() {
  this.style.color = ""red"";
};
element.onmouseout = function() {
  this.style.color = ""black"";
};

// onkeydown: Detects a key press
document.onkeydown = function(event) {
  console.log(""Key pressed: "" + event.key);
};

// onchange: Detects input value change
document.getElementById(""myInput"").onchange = function() {
  console.log(""New value: "" + this.value);
};
```"		
15	Events	Basic event listener (old)	"### **Basic Event Listeners in JavaScript**  

#### **Single Event Listener Example**
```html
<a href=""somewhere.html"" onclick=""doSomething()"">Click me</a>
```
- **Only one listener per event** when using inline event handlers.  

#### **Referencing an HTML Element in JavaScript with an Anonymous Function**
```js
document.getElementById('asdf').onclick = function () {
  this.style.visibility = 'hidden';
};
```
- **Directly assigns an event handler** to the element.  

#### **Adding Event Listeners to Multiple Elements**
```js
var x = document.getElementsByTagName('DIV');

for (var i = 0; i &lt; x.length; i++) {
  x[i].onmouseover = over;
  x[i].onmouseout = out;
}

function over() { 
  this.style.backgroundColor = '#cc0000'; 
}

function out() { 
  this.style.backgroundColor = '#ffffff'; 
}
```
- **Uses named functions** for event handling.  

#### **Using Anonymous Functions Instead**
```js
var x = document.getElementsByTagName('DIV');

for (var i = 0; i &lt; x.length; i++) {
  x[i].onmouseover = function () { 
    this.style.backgroundColor = '#cc0000'; 
  };
  x[i].onmouseout = function () { 
    this.style.backgroundColor = '#ffffff'; 
  };
}
```
- **Anonymous functions** are defined directly inside the loop.  

#### **Adding Multiple Functions to a Single Event**
```js
element.onclick = function () { 
  startDragDrop(); 
  spyOnUser(); 
};
```
- **Multiple actions in a single event listener**, but **cannot be removed individually**."		
16	Events	Modern listener	"### **Modern Event Handling with `addEventListener`**  

The `addEventListener` method allows multiple event listeners on the same element without overriding previous ones.  

#### **Basic Example**
```js
element.addEventListener('click', doSomething, false);
another_element.addEventListener('click', doSomething, false);

function doSomething() {
    this.style.backgroundColor = '#cc0000';
}
```
- Adds a **click event** that changes the background color.  
- The third parameter (`false`) specifies event bubbling (default behavior).  

#### **Using an Anonymous Function**
```js
element.addEventListener('click', function () {
    this.style.backgroundColor = '#cc0000';
}, false);
```
- The event handler is defined **directly inside `addEventListener`**.  

#### **Full Example**
```js
document.getElementById(""myBtn"").addEventListener(""click"", displayDate);

function displayDate() {
    console.log(new Date());
}
```
- Attaches an event listener to a button that logs the current date.  

#### **Removing Event Listeners**
```js
element.removeEventListener(""mousemove"", myFunction);
```
- Removes the specified event listener **only if the function reference matches**.  
- **Anonymous functions cannot be removed** because they don’t have a reference."		
17	Strings	Escape special characters	"### **Escape Characters in JavaScript**  

The **backslash (`\`)** is an escape character that allows special characters to be treated as part of a string.  

#### **Common Escape Sequences**  
| Escape Sequence | Meaning |
|----------------|---------|
| `\'`  | Single quote (`'`) inside a string |
| `\""`  | Double quote (`""`) inside a string |
| `\\`  | Backslash (`\`) itself |
| `\n`  | New line |
| `\t`  | Tab space |
| `\r`  | Carriage return |
| `\b`  | Backspace |
| `\f`  | Form feed |

#### **Examples**  
```js
let text1 = ""He said, \""Hello!\"""";  // Double quotes inside a string
let text2 = 'It\'s a nice day.';   // Single quote inside a string
let path = ""C:\\Users\\John"";      // Backslash in file paths
let multiline = ""Line 1\nLine 2"";  // New line
```
- The escape character (`\`) ensures special characters are **interpreted as part of the string** instead of code syntax."		
18	Strings	Other escape sequences	"### **Escape Sequences in JavaScript**  

The backslash (`\`) is used to escape special characters in strings.  

| Escape Sequence | Meaning |
|----------------|---------|
| `\b`  | Backspace |
| `\f`  | Form Feed |
| `\n`  | New Line |
| `\r`  | Carriage Return |
| `\t`  | Horizontal Tab (Tab Space) |
| `\v`  | Vertical Tab (Not widely supported) |

#### **Examples**  
```js
console.log(""Hello\bWorld"");   // Backspace: ""HellWorld""
console.log(""Line1\nLine2"");   // New Line
console.log(""Carriage\rReturn""); // Carriage return
console.log(""Tab\tSpace"");     // Horizontal Tab
console.log(""Form\fFeed"");     // Form Feed (rarely used)
console.log(""Vertical\vTab"");  // Vertical Tab (limited support)
```  
- These escape sequences **format text within strings**."		
19	String methods	Most common methods	"### **JavaScript String Methods**  

| Method | Description |
|--------|-------------|
| `length` | Returns the length of a string. |
| `charAt(index)` | Returns the character at the specified position. |
| `concat(str1, str2, ...)` | Joins two or more strings and returns a new string. |
| `endsWith(searchString)` | Checks if a string ends with the specified value. |
| `includes(searchString)` | Checks if a string contains a specified value. |
| `indexOf(searchValue)` | Returns the position of the first occurrence of a specified value. |
| `lastIndexOf(searchValue)` | Returns the position of the last occurrence of a specified value. |
| `match(regex)` | Searches a string for matches based on a regular expression. |
| `replace(searchValue, newValue)` | Replaces occurrences of a value with a new value. |
| `search(regex)` | Searches a string for a match and returns the index. |
| `slice(start, end)` | Extracts a part of a string and returns a new string. |
| `split(separator)` | Splits a string into an array based on a separator. |
| `startsWith(searchString)` | Checks if a string starts with the specified value. |
| `substr(start, length)` | Extracts characters from a string, starting at `start`, for `length` characters. |
| `substring(start, end)` | Extracts characters between two indices. |
| `toLowerCase()` | Converts a string to lowercase. |
| `toString()` | Returns the string representation of an object. |
| `toUpperCase()` | Converts a string to uppercase. |
| `trim()` | Removes whitespace from both ends of a string. |

#### **Examples**  
```js
let text = ""Hello, JavaScript!"";

console.log(text.length);             // 18
console.log(text.charAt(0));          // 'H'
console.log(text.concat("" Rocks!""));  // ""Hello, JavaScript! Rocks!""
console.log(text.endsWith(""!""));      // true
console.log(text.includes(""Java""));   // true
console.log(text.indexOf(""o""));       // 4
console.log(text.lastIndexOf(""o""));   // 7
console.log(text.match(/Java/));      // [""Java""]
console.log(text.replace(""Hello"", ""Hi"")); // ""Hi, JavaScript!""
console.log(text.search(""Java""));     // 7
console.log(text.slice(0, 5));        // ""Hello""
console.log(text.split("", ""));        // [""Hello"", ""JavaScript!""]
console.log(text.startsWith(""Hello""));// true
console.log(text.substr(7, 10));      // ""JavaScript""
console.log(text.substring(7, 17));   // ""JavaScript""
console.log(text.toLowerCase());      // ""hello, javascript!""
console.log(text.toUpperCase());      // ""HELLO, JAVASCRIPT!""
console.log(text.trim());             // Removes whitespace from both ends
```"		
20	Numbers	Bug	"### **Floating Point Precision in JavaScript**  

JavaScript uses **64-bit floating-point arithmetic (IEEE 754)**, which can cause precision errors in decimal calculations.

#### **Example of Precision Error**  
```js
var x = 0.2 + 0.1;
console.log(x); // 0.30000000000000004
```
- The expected result (`0.3`) is slightly off due to how floating-point numbers are represented in binary.

#### **Fixing the Precision Issue**  

##### **1. Using `toFixed(n)` (Rounds and returns a string)**
```js
var x = (0.2 + 0.1).toFixed(2);
console.log(x); // ""0.30""
```
- Converts the result to a string with `n` decimal places.

##### **2. Using `toPrecision(n)` (Rounds to total significant digits)**
```js
var x = (0.2 + 0.1).toPrecision(2);
console.log(x); // ""0.30""
```

##### **3. Using Multiplication and Division (Avoids Floating-Point Arithmetic)**
```js
var x = (0.2 * 10 + 0.1 * 10) / 10;
console.log(x); // 0.3
```
- Converts numbers to integers before performing calculations, avoiding precision errors.

#### **Key Takeaway**  
- Floating-point math is **not always precise**.  
- Use **rounding methods** or **integer math** for accurate results."		
21	Number methods	Number properties	"### **JavaScript Number Constants**  

| Constant             | Description |
|----------------------|-------------|
| `Number.MAX_VALUE`  | The largest possible number in JavaScript (`1.7976931348623157e+308`). |
| `Number.MIN_VALUE`  | The smallest positive number greater than zero (`5e-324`). |
| `Number.NEGATIVE_INFINITY` | Represents negative infinity (`-Infinity`), returned on overflow. |
| `Number.NaN` | Represents ""Not-a-Number"" (e.g., result of invalid mathematical operations). |
| `Number.POSITIVE_INFINITY` | Represents positive infinity (`Infinity`), returned on overflow. |

#### **Examples**  
```js
console.log(Number.MAX_VALUE);       // 1.7976931348623157e+308
console.log(Number.MIN_VALUE);       // 5e-324
console.log(Number.NEGATIVE_INFINITY); // -Infinity
console.log(Number.POSITIVE_INFINITY); // Infinity
console.log(10 / 0);                 // Infinity
console.log(-10 / 0);                // -Infinity
console.log(Number.NaN);             // NaN
console.log(0 / 0);                  // NaN
console.log(""abc"" * 5);              // NaN
console.log(isNaN(""abc"" * 5));       // true
```

#### **Key Notes**  
- `Infinity` and `-Infinity` result from division by zero.  
- `NaN` appears when a mathematical operation fails (e.g., `""abc"" * 5`).  
- Use `isNaN(value)` to check if a value is **NaN**."		
22	Number methods	Number methods	"### **JavaScript Number Methods**  

| Method | Description |
|--------|-------------|
| `Number.isFinite(value)` | Checks if a value is a **finite number** (not `Infinity`, `-Infinity`, or `NaN`). |
| `Number.isInteger(value)` | Checks if a value is an **integer**. |
| `Number.isNaN(value)` | Checks if a value is **NaN** (`Number.NaN`). |
| `Number.isSafeInteger(value)` | Checks if a value is a **safe integer** (`-(2^53 - 1)` to `2^53 - 1`). |
| `toExponential(x)` | Converts a number to **exponential notation** with `x` decimal places. |
| `toFixed(x)` | Formats a number with `x` **decimal places** (returns a string). |
| `toPrecision(x)` | Formats a number to a **total length** of `x` digits. |
| `toString()` | Converts a number to a **string**. |
| `valueOf()` | Returns the **primitive value** of a number. |

#### **Examples**  

```js
console.log(Number.isFinite(10));        // true
console.log(Number.isFinite(Infinity));  // false
console.log(Number.isInteger(5.5));      // false
console.log(Number.isNaN(NaN));          // true
console.log(Number.isSafeInteger(9007199254740991)); // true
console.log(Number.isSafeInteger(9007199254740992)); // false

let num = 123.456;

console.log(num.toExponential(2));   // ""1.23e+2""
console.log(num.toFixed(2));         // ""123.46""
console.log(num.toPrecision(4));     // ""123.5""
console.log(num.toString());         // ""123.456""
console.log(num.valueOf());          // 123.456
```

#### **Key Notes**  
- **`toFixed(x)` vs. `toPrecision(x)`**  
  - `toFixed(x)`: Controls **decimal places** (e.g., `""123.46""` for `x = 2`).  
  - `toPrecision(x)`: Controls **total digits** (e.g., `""123.5""` for `x = 4`).  
- `valueOf()` returns the **raw number value** without converting to a string."		
23	Arrays	Literal declaration	"### **Array Literal Declaration in JavaScript**  

A **literal declaration** is the simplest way to create an array in JavaScript.  

#### **Syntax**  
```js
var array_name = [item1, item2, item3, ...];
```

#### **Example**  
```js
var fruits = [""Apple"", ""Banana"", ""Cherry""];
console.log(fruits); // [""Apple"", ""Banana"", ""Cherry""]
```

#### **Key Notes**  
- Uses square brackets `[]` to define the array.  
- Elements inside the array can be **strings, numbers, objects, or other arrays**.  
- The array size is **dynamic**, meaning it can grow or shrink.  

#### **Accessing Elements**  
```js
console.log(fruits[0]); // ""Apple""
console.log(fruits[1]); // ""Banana""
```

#### **Modifying Elements**  
```js
fruits[1] = ""Mango"";
console.log(fruits); // [""Apple"", ""Mango"", ""Cherry""]
```"		
24	Arrays	Constructor declaration	"### **Array Constructor Declaration (Avoid This Approach)**  

The `new Array()` constructor can be used to create arrays, but **it is not recommended** due to unexpected behavior.  

#### **Syntax**  
```js
var array_name = new Array('item1', 'item2');
```

#### **Example**  
```js
var fruits = new Array('Apple', 'Banana', 'Cherry');
console.log(fruits); // [""Apple"", ""Banana"", ""Cherry""]
```

#### **Why Should You Avoid `new Array()`?**  
1. **Inconsistent behavior with a single numeric argument**  
   ```js
   var arr = new Array(5);
   console.log(arr); // Creates an empty array with a length of 5, NOT an array containing [5]
   ```
   - If a **single number** is passed, JavaScript interprets it as an array **length**, not an element.

2. **More readable and safer to use array literals**  
   ```js
   var fruits = ['Apple', 'Banana', 'Cherry']; // ✅ Preferred approach
   ```
   - This avoids confusion and works consistently.

#### **Conclusion**  
✅ **Use array literals (`[]`) instead of `new Array()`** for simplicity, readability, and predictable behavior."		
25	Arrays	Access the elements of an array	"### **Accessing Elements of an Array in JavaScript**  

You can access array elements using **index notation** (`array_name[index]`).  

#### **Syntax**  
```js
var x = array_name[0]; // Accesses the first element
```

#### **Example**  
```js
var fruits = [""Apple"", ""Banana"", ""Cherry""];

console.log(fruits[0]); // ""Apple""
console.log(fruits[1]); // ""Banana""
console.log(fruits[2]); // ""Cherry""
```

#### **Key Notes**  
- **Indexes start at `0`**, so `array_name[0]` is the first element.  
- If you access an **index that does not exist**, it returns `undefined`.  
  ```js
  console.log(fruits[5]); // undefined
  ```
- **Arrays are mutable**, so elements can be reassigned:  
  ```js
  fruits[1] = ""Mango"";
  console.log(fruits); // [""Apple"", ""Mango"", ""Cherry""]
  ```
- You can also access the **last element** using `.length - 1`:  
  ```js
  console.log(fruits[fruits.length - 1]); // ""Cherry""
  ```"		
26	Arrays	Looping array elements	"### **Looping Through Array Elements in JavaScript**  

You can loop through an array using different methods:  

---

### **1️⃣ Using a `for` Loop (Traditional Approach)**
```js
for (let i = 0; i &lt; array_asdf.length; i++) {
  console.log(array_asdf[i]); // Access each element
}
```
- Iterates through the array **using an index**.  
- `array_asdf.length` ensures the loop runs for all elements.  

#### **Example**
```js
var fruits = [""Apple"", ""Banana"", ""Cherry""];

for (let i = 0; i &lt; fruits.length; i++) {
  console.log(fruits[i]);
}
```

---

### **2️⃣ Using `forEach()` (Modern Approach)**
```js
array_asdf.forEach(myFunction);

function myFunction(value) {
  console.log(value); // Do something with each value
}
```
- **Iterates directly over values**, no need for an index.  
- **More readable and cleaner** than a `for` loop.  

#### **Example**
```js
var fruits = [""Apple"", ""Banana"", ""Cherry""];

fruits.forEach(function(value) {
  console.log(value);
});
```
- You can also use an **arrow function**:  
  ```js
  fruits.forEach(value =&gt; console.log(value));
  ```

---

### **3️⃣ Using `for...of` (Recommended for Arrays)**
```js
for (let value of array_asdf) {
  console.log(value);
}
```
- **Directly iterates over values**, like `forEach()`, but works inside loops naturally.  

#### **Example**
```js
var fruits = [""Apple"", ""Banana"", ""Cherry""];

for (let fruit of fruits) {
  console.log(fruit);
}
```

---

### **4️⃣ Using `map()` (For Transforming Arrays)**
If you want to create a **new array** based on modifications:
```js
let upperCaseFruits = fruits.map(fruit =&gt; fruit.toUpperCase());
console.log(upperCaseFruits); // [""APPLE"", ""BANANA"", ""CHERRY""]
```
- `map()` **modifies each element** and returns a new array.  

---

### **Key Takeaways**
✅ **Use `forEach()`** for readability when processing elements.  
✅ **Use `for...of`** for simple iteration over array values.  
✅ **Use `map()`** when you need to **return a modified array**.  
✅ **Use a `for` loop** if you need an **index** or to **modify elements directly**."		
27	Arrays	Looping object elements. (no w3)	"### **Looping Through Object Properties in JavaScript**  

When working with objects, you can iterate through their properties using different methods.

---

### **1️⃣ Using `for...in` (Best for Objects)**  
```js
for (let key in person) {
  console.log(key + "": "" + person[key]);
}
```
- Iterates through **all enumerable properties** of an object.  
- `key` holds the **property name**.  
- `person[key]` gives the **property value**.  

#### **Example**
```js
var person = { name: ""John"", age: 30, city: ""New York"" };

for (let key in person) {
  console.log(key + "": "" + person[key]);
}
// Output:
// name: John
// age: 30
// city: New York
```

---

### **2️⃣ Using `Object.keys()` (Returns an Array of Keys)**
```js
Object.keys(person).forEach(key =&gt; {
  console.log(key + "": "" + person[key]);
});
```
- `Object.keys(person)` returns an **array** of all keys.  
- `.forEach()` iterates over the keys to access values.  

#### **Example**
```js
var person = { name: ""John"", age: 30, city: ""New York"" };

Object.keys(person).forEach(key =&gt; {
  console.log(key + "": "" + person[key]);
});
```

---

### **3️⃣ Using `Object.values()` (Returns an Array of Values)**
```js
Object.values(person).forEach(value =&gt; {
  console.log(value);
});
```
- `Object.values(person)` returns an **array of values** (ignores keys).  

#### **Example**
```js
var person = { name: ""John"", age: 30, city: ""New York"" };

Object.values(person).forEach(value =&gt; {
  console.log(value);
});
// Output:
// John
// 30
// New York
```

---

### **4️⃣ Using `Object.entries()` (Key-Value Pairs as Arrays)**
```js
Object.entries(person).forEach(([key, value]) =&gt; {
  console.log(key + "": "" + value);
});
```
- `Object.entries(person)` returns an **array of `[key, value]` pairs**.  
- Destructures key-value pairs inside `.forEach()`.  

#### **Example**
```js
var person = { name: ""John"", age: 30, city: ""New York"" };

Object.entries(person).forEach(([key, value]) =&gt; {
  console.log(key + "": "" + value);
});
```

---

### **Key Takeaways**  
✅ **Use `for...in`** to iterate **object properties** directly.  
✅ **Use `Object.keys()`** if you need an **array of keys**.  
✅ **Use `Object.values()`** if you only need an **array of values**.  
✅ **Use `Object.entries()`** if you need **both keys and values**."		
28	Arrays	Asociative arrays	"### **JavaScript Does Not Support Arrays with Named Indexes**  

JavaScript **arrays** are **indexed with numbers**, not strings. If you use **named indexes**, JavaScript treats it as a **regular object** instead of an array.

---

### **❌ Incorrect: Using Named Indexes in an Array**
```js
var person = [];
person[""name""] = ""John"";
person[""age""] = 30;

console.log(person.length); // 0 (Array length is still 0)
console.log(person[0]);     // undefined
console.log(person[""name""]); // ""John"" (But this is NOT an array)
```
- Here, `person` is **not acting as an array**, but as an **object**.  
- **Array length remains `0`**, meaning it's not storing elements properly.  

---

### **✅ Correct: Using an Object for Named Properties**
```js
var person = {
  name: ""John"",
  age: 30
};

console.log(person.name); // ""John""
console.log(person[""age""]); // 30
```
- **Use an object (`{}`) when property names are strings**.  
- **Objects are key-value pairs**, allowing named properties.  

---

### **✅ Correct: Using an Array for Numeric Indexes**
```js
var fruits = [""Apple"", ""Banana"", ""Cherry""];

console.log(fruits[0]); // ""Apple""
console.log(fruits.length); // 3
```
- **Use an array (`[]`) when elements are indexed numerically**.  

---

### **💡 Key Takeaways**
✔ **Use objects (`{}`) when keys are strings** (e.g., `person.name`).  
✔ **Use arrays (`[]`) when elements are accessed by numeric indexes** (e.g., `fruits[0]`).  
✔ **JavaScript does not support associative arrays** (arrays with named indexes).  
✔ **Using named indexes on an array makes it behave like an object**, and `length` won’t work correctly."		
